gu,crime,murder,robbery,rape,theft,assault,game,play,elem,sing,video,police,alcohol,midpop,highpop,cctv
강남구,7513,10,14,600,3004,3885,611,481,76,277,5,14,11727,0.39,0.128,5221
강동구,3919,3,7,170,1515,2224,504,227,57,255,10,8,3942,0.405,0.143,1879
강북구,3437,8,7,188,1112,2122,636,194,34,342,12,9,3667,0.407,0.188,1265
강서구,4629,11,6,269,1724,2619,562,305,81,353,6,10,5555,0.383,0.138,1617
관악구,5026,9,10,352,2012,2643,483,305,55,313,6,9,4543,0.351,0.143,3985
광진구,3915,7,2,229,1769,1908,534,98,43,335,11,9,4206,0.381,0.129,1581
구로구,4810,8,9,250,1717,2826,473,130,53,324,2,8,4305,0.408,0.148,3227
금천구,3293,6,7,200,1168,1912,327,126,33,196,1,5,2961,0.422,0.147,1634
노원구,4007,5,5,194,1422,2381,326,71,93,287,12,8,3535,0.406,0.148,1906
도봉구,2249,1,5,113,781,1349,636,75,46,250,1,8,2404,0.413,0.172,858
동대문구,3680,2,5,145,1447,2081,339,159,47,205,4,11,4137,0.374,0.162,2003
동작구,3100,3,7,288,1151,1651,337,94,44,198,9,7,3260,0.372,0.15,1780
마포구,5172,6,6,473,2011,2676,206,141,46,225,4,8,7834,0.368,0.135,1935
서대문구,2802,5,3,206,1062,1526,272,92,40,177,25,8,3861,0.375,0.16,2121
서초구,4726,5,5,470,1851,2395,415,176,51,319,4,11,6076,0.39,0.13,2835
성동구,2457,2,5,126,999,1325,391,64,41,178,1,9,3414,0.386,0.14,2679
성북구,3042,7,1,183,1164,1687,304,72,60,179,7,10,3888,0.385,0.155,3003
송파구,5807,5,6,309,2352,3135,546,252,87,506,32,10,6712,0.389,0.126,1586
양천구,3515,2,4,120,1384,2005,373,76,64,251,3,8,3191,0.416,0.13,2775
영등포구,5840,17,8,391,2292,3132,573,393,43,342,1,10,6325,0.397,0.142,2495
용산구,3411,1,3,331,1096,1980,92,132,34,83,1,8,4589,0.387,0.157,2063
은평구,3590,8,1,188,1278,2115,742,219,67,216,3,9,3559,0.399,0.164,2962
종로구,3690,6,3,236,1483,1962,228,338,36,109,24,20,7151,0.385,0.168,1471
중구,4030,2,11,207,1855,1955,399,316,30,80,5,15,6189,0.388,0.168,1544
중랑구,4288,4,3,174,1526,2581,687,125,47,370,9,8,3693,0.41,0.16,1068
